Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
KAL904,B744,HL7492,LFPG,RKSI,25000,2012-05-13 11:16:00,,27,,,34,KAL,PULUN_RKSI
AAR368,B763,HL7515,ZSPD,RKSI,25000,2012-05-13 11:19:00,,45,,,33R,AAR,PULUN_RKSI
KAL764,B737,HL8221,RJSN,RKSI,25000,2012-05-13 11:23:00,,34,,,33R,KAL,PULUN_RKSI
KAL952,B772,HL7715,OMDB,RKSI,25000,2012-05-13 11:28:00,,22,,,33R,KAL,PULUN_RKSI
CCA139,A319,B6022,ZSHC,RKSI,25000,2012-05-13 11:28:00,,101,,,33R,CCA,PULUN_RKSI
KAL788,A333,HL7702,RJFF,RKSI,25000,2012-05-13 11:33:00,,21,,,33R,KAL,PULUN_RKSI
CDG4095,B738,B5453,ZSJN,RKSI,25000,2012-05-13 11:35:00,,131,,,33R,CDG,PULUN_RKSI
KAL9906,B777,HL7733,LDZA,RKSI,25000,2012-05-13 11:36:00,,19,,,33R,KAL,PULUN_RKSI
CES5041,A320,B6586,ZSPD,RKSI,25000,2012-05-13 11:40:00,,119,,,33R,CES,PULUN_RKSI
KAL706,B747,HL7494,RJAA,RKSI,25000,2012-05-13 11:44:00,,15,,,33R,KAL,PULUN_RKSI
AAR542,B747,HL7423,EDDF,RKSI,25000,2012-05-13 11:45:00,,35,,,33R,AAR,PULUN_RKSI
CCA123,A332,B6075,ZBAA,RKSI,25000,2012-05-13 11:48:00,,109,,,33R,CCA,PULUN_RKSI
KAL796,B738,HL8242,RJCC,RKSI,25000,2012-05-13 11:51:00,,9,,,33R,KAL,PULUN_RKSI
AAR8532,A320,HL7769,RKPK,RKSI,25000,2012-05-13 11:53:00,,32,,,33R,AAR,PULUN_RKSI
KAL846,B737,HL7785,ZSQD,RKSI,25000,2012-05-13 11:55:00,,18,,,33R,KAL,PULUN_RKSI
CSN687,A321,B2280,ZYCC,RKSI,25000,2012-05-13 11:59:00,,112,,,33R,CSN,PULUN_RKSI
CES2033,A320,B2336,ZSQD,RKSI,25000,2012-05-13 12:05:00,,129,,,33R,CES,PULUN_RKSI
JAL951,B763,JA609J,RJAA,RKSI,25000,2012-05-13 12:11:00,,113,,,33R,JAL,PULUN_RKSI
ANA941,A320,JA8386,RJGG,RKSI,25000,2012-05-13 12:18:00,,121,,,33R,ANA,PULUN_RKSI
KAL906,A388,HL7615,EDDF,RKSI,25000,2012-05-13 12:21:00,,10,,,33R,KAL,PULUN_RKSI
CES217,A320,B6558,ZSYN,RKSI,25000,2012-05-13 12:30:00,,118,,,33R,CES,PULUN_RKSI
KAL832,A333,HL7525,ZYTX,RKSI,25000,2012-05-13 12:33:00,,8,,,33R,KAL,PULUN_RKSI
ESR612,B737,HL8215,RJBB,RKSI,25000,2012-05-13 12:38:00,,125,,,33R,ESR,PULUN_RKSI
AAR768,A330,HL7740,VIDP,RKSI,25000,2012-05-13 12:40:00,,30,,,33R,AAR,PULUN_RKSI
CCA127,A321,B6597,ZSQD,RKSI,25000,2012-05-13 12:43:00,,107,,,33R,CCA,PULUN_RKSI
CES2017,A320,B6716,ZSWH,RKSI,25000,2012-05-13 12:47:00,,128,,,33R,CES,PULUN_RKSI
AAR318,A320,HL7762,ZSQD,RKSI,25000,2012-05-13 12:50:00,,36,,,33R,AAR,PULUN_RKSI
CSN6073,A321,B6302,ZYYJ,RKSI,25000,2012-05-13 12:51:00,,115,,,33R,CSN,PULUN_RKSI
AAR302,A321,HL7722,ZYTL,RKSI,25000,2012-05-13 12:54:00,,42,,,33R,AAR,PULUN_RKSI
AAR131,B777,HL7597,RJFF,RKSI,25000,2012-05-13 12:58:00,,40,,,,AAR,PULUN_RKSI
