AircraftType,V2,TakeoffDistance,WTC,RECATEU,MTOW,ROC_to_5000,IAS_to_5000,ROC_to_FL150,IAS_to_FL150,ROC_to_FL240,IAS_to_FL240,ROC_to_MACH,IAS_to_MCAH,TAS_Cruise,MACH_Cruise,Ceiling_Cruise,Range_Cruise,IAS_to_FL240_Dec,ROD_to_FL240,IAS_to_FL100_Dec,ROD_to_FL100,IAS_Approach,MCS_Approach,ROD_Approach,Vat,APC,LandingDistance,AircraftSubTypeList,Accomodation,Note,AlternativeName,Wingspan,Length,Height,PowerPlant,Pax,ADG,TaxiingSpeedMax,TaxiingSpeedNorm,setAccelerationOnRunwayMax,setDecelerationOnRunwayMax,AccelerationOnGroundMax,DecelerationOnGroundMax
A320,145,2190,M,Upper,73900,2500,175,1028.888,290,720.2216,290,514.444,0.78,450,0.40641076,FL410,2700,0.78,1000,290,1800.554,250,108.03324,771.666,70.478828,C,1440,320,Flightcrew of two and typical 150 passengers in two classes. up to 180 in a one class layout.,Short to medium range single aisle airliner. In service since 1988.  First airliner with a fly-by-wire-system with side stick controlling and an EFIS-cockpit. Total of 2532 aircraft ordered. 1563 delivered. 1542 in operation. There are total of 3469 aircraft from A320 family in operation (including 318/319/320/321 - May 2008). ,,34.1,37.57,11.76,2 x 111kN CFM56-5A1 or 2 x 118kN CFM56-5A3 or 2 x 125kN  IAE V2500 turbofans.,150,C,15.4332,7.71666,3,,1.028888,1.028888
A321,145,2210,M,Upper,83000,2500,175,1028.888,290,925.9992,290,514.444,0.78,450,0.40641076,FL410,2350,0.78,1000,290,1286.11,225,108.03324,771.666,72.536604,C,1600,321,Flightcrew of  two and typical 185 passengers in two classes. up to 220 in all economy high density configuration.,Short to medium range single aisle airliner. In service since 1994. Stretched fuselage version of  A-320. The longest member of the A320 family. There are two version: 100 and 200.&#13;&#10;MTOW for the A321-100 is 83000kg optional 85000kg.&#13;&#10;MTOW for the A321-200 is 89000kg optional 93500kg.,,34.1,44.51,11.76,2 x 133kN  CFM56-5B1 or 2 x 133kN  IAE V2530-A5 turbofans.,185,C,15.4332,7.71666,3,,1.028888,1.028888
A332,145,2300,H,Upper,230000,2000,175,1286.11,290,1131.7768,290,771.666,0.8,470,0.41669964,FL410,6750,0.8,1000,290,1543.332,230,102.8888,823.1104,72.02216,C,1800,330,Flightcrew of two and typical 253 passengers in three classes. up to 293 in two classes configuration.,Large capacity long range airliner. In service since 1998.  Shorter long range version of A-330-300 ( 2-engine version of A340) to supplement the A-300-600. Full freighter version A330-200F (first delivery in 2004). Total of 327 aircraft ordered and 229 in operation (August 2006).,,60.3,58.8,17.4,2 x 306kN  GE CF6-80E1 or 2 x 300kN R-R Trent 772 or 2 x 308kN PW 4173 turbofans.,253,E,15.4332,7.71666,3,,1.028888,1.028888
A333,145,2300,H,Upper,230000,2000,175,1028.888,290,668.7772,290,514.444,0.8,475,0.41669964,FL410,5650,0.81,1000,290,1543.332,220,102.8888,771.666,72.02216,C,1700,330,Flightcrew of two and typical 295 passengers in three classes. up to 335 in high density configuration.,Large capacity long range airliner. In service since 1993.  Largest member of Airbus twinjet family (2-engine version of A340). Total of 253 aircraft ordered and 193 in operation (August 2006).,,60.3,63.6,16.85,2 x 306kN  GE CF6-80E1 or 2 x 300kN R-R Trent 772 or 2 x 308kN PW 4000 turbofans.,295,E,15.4332,7.71666,3,,1.028888,1.028888
A342,145,2765,H,Upper,275000,1500,175,617.3328,290,514.444,290,360.1108,0.81,490,0.42184408,FL410,8000,0.81,1000,290,1028.888,250,108.03324,771.666,77.1666,D,1765,340,Flightcrew of two and typical 239 passengers in three classes. up to 300 in two classes configuration.,Long to ultra long range wide-body airliner. Initially known as A-340-8000 with additional tanks and underfloor passenger sleepers for ultra long range. Programme was launched in 1987 as a combined programme with the A330. differing mainly in number of engines and in engine related systems. The A340 had its first flight on the 25th of October 1991 and entered service with Lufthansa in January 1993. Total of 247 aircraft ordered (series 200 and 300) - 236 in operation (August 2006).,,60.3,59.39,16.7,4 x 141kN CFM56-5C4 or 4 x 147kN CFM 56-5C3 turbofans.,239,E,15.4332,7.71666,3,,1.028888,1.028888
A343,145,2765,H,Upper,275000,1400,175,771.666,290,514.444,290,360.1108,0.8,490,0.42184408,FL410,7200,0.81,1000,290,1028.888,250,108.03324,771.666,72.02216,D,1830,340,Flightcrew of two and typical 295 passengers in three classes. up to 335 in two classes configuration.,Long to ultra long range wide-body airliner. In service since 1993.  Longer development of development of A340-200. It can carry more passengers over less range.,,60.3,63.6,16.85,4 x 154kN CFM56-5C4/P turbofans.,295,E,15.4332,7.71666,3,,1.028888,1.028888
A345,145,3200,H,Upper,368000,1500,175,617.3328,290,514.444,290,308.6664,0.81,480,0.42184408,FL410,8800,0.81,1000,290,1028.888,250,108.03324,771.666,82.31104,D,1920,340,Flightcrew of two and typical 313 passengers in two classes. upt to 359 in high density configuration.,Ultra long range wide-body airliner. Entered commercial service in end 2002 with Air Canada. Stretched development of A340-300. It has the longest range within the A330/340 family of aircraft. Total of 38 aircraft ordered. 26 are in sevice (May 2008).,,63.45,67.9,17.1,4 x 236kN R-R Trent 553 turbofans.,313,E,15.4332,7.71666,3,,1.028888,1.028888
A346,145,3140,H,Upper,368000,1500,175,617.3328,290,514.444,290,411.5552,0.81,480,0.42184408,FL410,7750,0.81,1000,290,1028.888,250,108.03324,771.666,77.1666,D,2000,340,Flightcrew of two and typical 380 passengers in two classes. up to 419 in high density configuration.,Long to ultra long range wide-body airliner. First flight in April 2001. First  delivery to Virgin Atlantic in 2002. Stretched development of A340-500. Total of 116 aircraft ordered. 60 are in operation (August 2006).,,63.45,75.3,17.3,4 x 249kN R-R Trent 556 turbofans.,380,E,15.4332,7.71666,3,,1.028888,1.028888
A359,150,888,H,No,268000,3000,220,1183.2212,300,823.1104,300,720.2216,0.82,490,0.4372774,FL430,8100,0.85,1500,250,1543.332,240,113.17768,771.666,79.73882,D,888,A359,Two crew and 314 pax (3-class). or 315&#8211;366 pax (2-class) and maximum 475 pax.,The A350 was originally conceived in 2004. In 2006. Airbus redesigned the aircraft and renamed it the A350 XWB (for extra wide body). &#13;&#10;The launch customer for the A350 is Qatar Airways. which ordered 80 aircraft across the three variants. The first flight took place on the 14/06/2013. The airliner is scheduled to enter airline service in mid-2014,,64.8,66.9,17.05,2x RR Trent XWB delivering 374kN each.,314,E,15.4332,7.71666,3,,1.028888,1.028888
A388,150,2970,H,Super,560000,1500,190,1286.11,320,668.7772,320,514.444,0.83,520,0.4372774,FL430,8000,0.83,1000,300,1028.888,250,118.32212,514.444,72.02216,C,2010,380,Flightcrew of 2 plus 555 passengers in typical three classes (First class: 29 + Business class: 96 + Economy class: 437). up to 853 in single class configuration.,A380-800 is the first true double-deck passenger airliner for the long-range market. while the A380-800F cargo version is to be the first commercial freighter with three full cargo decks. Maximum cruising speed M0.88 and can reach FL350 in 28 minutes as initial cruise altitude. The 555-seat aircraft uses the same cockpit layout and operating procedures as the Airbus A320 and A330/A340 Families. ensuring that pilots qualified on other Airbus fly-by-wire aircraft can step into the A380 with minimal additional training. First flight in April 2005. First delivery to Singapore Airlines October 2007. Total of 192 aircraft ordered (May 2008).,,79.8,73,24.1,4 x 311kN R-R Trent 900 or GP7200,555,F,15.4332,7.71666,3,,1.028888,1.028888
A3ST,,1950,H,Lower,155000,1200,180,771.666,250,823.1104,250,257.222,0.68,400,0.35496636,FL310,2500,0.68,1500,290,771.666,240,108.03324,514.444,72.02216,C,1176,ABB,Flightcrew of two.,Oversized  freighter development based on A300-600 fuselage. In service since 1996. The Beluga (also known as the A300-600ST Super Transporter) was developed to carry complete sections of Airbus aircraft from different production sites around Europe to the final assembly lines in Toulouse or Hamburg. Its main-deck cargo volume is greater than the C5 Galaxy. the An-124 or the C-17 airlifters. Operated by Airbus Transport International (ATI).,,44.8,56.2,17.2,2 x 262 kN GE CF6- 80C2A8 turbofans.,0,D,15.4332,7.71666,3,,1.028888,1.028888
A4,130,230,M,Light,11136,8500,150,2572.22,300,1543.332,300,1543.332,0.75,580,0.45271072,FL420,1700,0.75,6000,310,3086.664,270,92.59992,1028.888,69.44994,C,400,A4,1 pilot.&#13;&#10;Certain models used for training. accommodate 2 pilots.,Entered service in 1956 with the US Navy and US Marine Corps. &#13;&#10;2960 Skyhawks were built. some of which are still active in several Airforces around the world today.,,8.4,12.2,4.6,1x Pratt &amp; Whitney J52-P8A (41kN),0,A,15.4332,7.71666,3,,1.028888,1.028888
A6,140,900,M,Lower,28000,10000,170,5144.44,300,5144.44,300,5144.44,0.7,420,0.385833,FL410,1000,0.75,5000,350,2572.22,250,NaN,771.666,56.58884,B,600,A6,1 pilot and 1 navigator,carrier based attack aircraft ECM aircraft. In service since 1971.  Development of A-6 which is no longer in sevice with longer nose enclosing cockpit and large pod on fin. Max Mach 0.90,Intruder.Prowler,16.2,18.2,4.9,2 x 49.8 kN P &amp; W J52-P-408 turbojets.,0,B,15.4332,7.71666,3,,1.028888,1.028888
A748,110,1000,M,Lower,21090,1000,140,617.3328,180,308.6664,180,NaN,,220,NaN,FL250,1400,,,220,514.444,220,87.45548,771.666,61.73328,B,620,HS7,Flightcrew of two and typical 48 passengers. up to 51 in high density configuration.,Regional airliner. In service since 1961.  Developed as the AVRO 748. transferred to HAWKER SIDDELEY as HS-748 in 1959. Built in several series: most advanced variant Super 748 (first flight July 1984) with advanced flightdeck and improved efficiency. Modernized version is ATP. Military version is called ANDOVER but only a handful of these are still used.  Super 748: Wingspan 31.23 m.,AVRO 748<br />British Aerospace BAe-748,30,20.4,7.6,2 x 2.280 SHP R-R Dart Mk 534 or 2 x 2.280 SHP R-R Dart Mk 552 turboprops with 4 blade propellers.,48,C,15.4332,7.71666,3,,1.028888,1.028888
AC11,70,350,L,Light,1480,800,100,102.8888,110,102.8888,110,NaN,,150,NaN,FL160,750,,,140,257.222,140,34.467748,257.222,36.01108,A,220,AC11,One pilot and 3 or 4 passengers.,Light aircraft. In service since 1972.  Light aircraft development orginally by ROCKWELL. Commander 112 replaced by turbocharged 112TC Alpine Commander with wingtips and more powerful 114 in 1976. Commander Aircraft Company incorporated in 1988. resulting new developed Commander 114B  (since 1992) and turbocharged 114TC (since 1995). New high performance model (since 2000): Commander 115. Commander 114TC has a ceiling of 25000 ft.,Commander 114<br />COMMANDER Commander 114,10,7.6,2.6,112: 1 x 200 HP Lycoming IO-360-C1D6 piston engines with 2 blade propeller. 114/115: 1 x 263 HP Lycoming IO-540-T4B5 piston engine with 3 blade propeller.,4,A,15.4332,7.71666,3,,1.028888,1.028888
AC50,80,400,L,Light,3060,1000,110,257.222,130,257.222,130,NaN,,160,NaN,FL190,1100,,,160,411.5552,160,NaN,257.222,38.5833,A,400,AC50,One pilot and 5 passengers.,Utility and corporate aircraft. In service since 1958.  Developed from 1958 to 1968. Low cost model of the 520 series.,Commander 500,14.9,11.2,4.6,2 x 250 HP Lycoming O-540-A2B or 2 x 260 HP Continental IO-470-M or 2 x 290 HP Lycoming IO-540-E1B1 piston engines with 3 blade propellers.,5,A,15.4332,7.71666,3,,1.028888,1.028888
AC56,80,400,L,Light,3060,1000,110,257.222,130,257.222,130,NaN,,160,NaN,FL190,1000,,,160,411.5552,160,NaN,257.222,38.5833,A,400,AC56,One pilot and 4 passengers.,Utility and corporate aircraft. In wide spread service since 1955.  Developed from 1955 to 1960. Based on the 520 series.,AERO COMMANDER 560,14.9,11.2,4.6,2 x 275 HP Lycoming GO-480-D1A or 2 x 295 HP Lycoming GO-480-G1B6 or 2 x 350 HP Lycoming IGO-540-B1A piston engines with 3 blade propellers.,4,A,15.4332,7.71666,3,,1.028888,1.028888
AC68,80,350,L,Light,3860,1000,110,257.222,130,NaN,130,NaN,,160,NaN,FL280,1200,,,160,411.5552,160,NaN,257.222,38.5833,A,400,AC68,One pilot and 4 to 6 passengers.,Light utility corporate aircraft. In wide spread service since 1958.  Exists in many versions. Developed from 1958 to 1967 on the basis of the 520/560 series.,Commander 680 Super,13.4,13.1,4.6,2 x 340 HP Lycoming GSO-480-A1A-6 or 2 x 380 HP Lycoming IGSO-540-B1A  piston engines with 3 blade propellers.,6,A,15.4332,7.71666,3,,1.028888,1.028888
AC6L,80,350,L,Light,4650,1000,110,257.222,130,NaN,130,NaN,,170,NaN,FL200,1200,,,170,411.5552,170,NaN,257.222,38.5833,A,400,AC6L,One pilot and 4 to 6 passengers.,Light utility corporate aircraft. In service since 1964.  Piston engines powered version of 690 Turbo Commander. Developed from 1964 to 1967 on base of the 580 series.,,14.4,13.5,4.6,2 x 380 HP Lycoming IGSO-540-B1C piston engines with 3 blade propellers.,6,A,15.4332,7.71666,3,,1.028888,1.028888
AC95,100,500,L,Light,5080,2000,130,514.444,210,514.444,210,NaN,,270,NaN,FL350,800,,,250,771.666,250,NaN,771.666,51.4444,B,500,ACD,One pilot and 9 passengers.,Light utility/corporate transporter and utility aircraft. In service since 1979.  More powerful development of Jetprop Commander 840/980 with revised interior for better use of the 980 SHP engines. Production ceased in 1985.,Jetprop Commander 980/1000,15.9,13.1,4.6,2 x 980 SHP Garrett TPE 331-10-501K (flat rated to 820 SHP) turboprops with 3 blade propellers.,9,B,15.4332,7.71666,3,,1.028888,1.028888
AEST,95,550,L,Light,2860,1500,125,668.7772,180,411.5552,180,NaN,,230,NaN,FL290,1200,,,230,1286.11,160,NaN,257.222,51.4444,B,350,AEST,One pilot and 5 passengers.,High performance light aircraft. In service since 1968.  Developed as response to the AERO COMMANDERS twins. Exists in several versions. last more powerful and turbocharged model PA-60-700P. Built first by TED SMITH (later AEROSTAR) INSERT INTO tblaircraftdatasupp VALUES  United States. transfered to PIPER as PA-60 Aerostar in 1982.,AICSA Aerostar,11.2,10.6,3.9,600A: 2 x 290 HP Lycoming IO-540-K1J5 piston engines with 3 blade propellers. 700P: 2 x 350 HP Lycoming TIO-540-K2A turbocharged piston engines with 3 blade propellers.,5,A,15.4332,7.71666,3,,1.028888,1.028888
AJET,140,350,M,Light,7000,10000,170,2057.776,300,1543.332,300,NaN,,500,0.42698852,FL480,1200,0.84,5000,300,2572.22,120,47.843292,771.666,47.328848,B,500,AJET,Two seats in tandem position.,Light tactical aircraft and trainer. In service since 1978.  France/Germany jointly advanced trainer development. Today mainly used by French. Maroccon. Belgian and Portuguese Air Force. A new generation of Alpha Jet NGEA was launched in 1980 for Cameroon- and Egyptian Air Force.,,9.1,12.3,4.2,F: 2 x 13.48 kN SNECMA Larzac 04-C6 turbofans. A: 2 x 14.1 kN SNECMA Larzac 04-C20 turbofans.,0,A,15.4332,7.71666,3,,1.028888,1.028888
AMXM,140,700,M,No,13000,10000,170,5144.44,300,5144.44,300,1028.888,0.8,420,0.42698852,FL430,800,,,350,5144.44,250,NaN,771.666,72.02216,C,500,AMXM,One or two pilots.,Light attack aircraft / trainer. In service since 1988.  Replacement of G91 and F-104 for Italian Air Force and MB-326 Xavante for Brazilia Air Force.  Two-seat trainer version AMX-T.,AMX AMX (A-1)<br />EMBRAER AMX (A-1),8.9,13.6,4.6,1 x 49 kN R-R Spey Mk 807 non afterburning turbofan. built by Fiat,0,A,15.4332,7.71666,3,,1.028888,1.028888
AN12,130,700,M,Upper,61000,1500,160,514.444,220,411.5552,220,NaN,,310,NaN,FL330,2100,,,300,771.666,150,61.73328,514.444,62.762168,C,500,ANF,Flightcrew of 5 and 90 passengers.,Medium sized turboprop freighter. In service since 1959.  Turboprop military freighter development based on the twin turboprop An-8 and An-10. Exists in many versions. Russian equivalant to C-130 Hercules. Cockpit pressurized only. Chinese Version: Y-8 series.,ANTONOV An-12<br />SHAANXI Y-8,38,33,10.5,An12: 4 x 4.000 SHP Ivchenko AI-20k turboprop with 4 blade propellers. Y-8: 4 x 4.250 SHP Zhuzhou WJ6 turboprop with 4 blade propellers.,90,D,15.4332,7.71666,3,,1.028888,1.028888
AN2,45,150,L,Light,5500,650,75,-257.222,75,NaN,75,NaN,,100,NaN,FL150,500,,,100,257.222,100,NaN,25.7222,28.29442,A,170,AN2,One or two pilots and 12 passengers.,Biplane utility transport aircraft. In service since 1948.  Production was transferred to Polands PZL Mielec in the 1960s (first flight 23. Oct. 1960).  More than 15.000 aircraft have been built in Russia. Poland and China (Y-5).,ANTONOV An-2,18.2,12.7,4,An-2: 1 x 1.000 HP PZL Kalisz Asz-61R 9 cylinder radial engine with 4 blade propeller. Y-5: 1 x 1.000 HP PZL Kalisz Asz-61R-16 or 1 x 986 HP Zhuzhou HS5 9 cylinder radial engine with 4 blade propeller.,12,B,15.4332,7.71666,3,,1.028888,1.028888
AN22,,1300,H,Upper,250000,,,NaN,,NaN,,NaN,,350,0.3343886,FL328,3500,,,250,514.444,200,NaN,514.444,72.02216,C,800,AN22,Flightcrew of 6 and up to 29 passengers in upper deck.,Longe range large capacity freighter. In service since 1965.  Heavylift freighter development. NATO code name: Cock.  World´s largest propeller driven aircraft. Replaced by the An-124. Developed from 1947 until 1974. Approx 70 numbers were built. a few dozen remain in commercial and military service.  Max. TAS: 400 kt. 0.68 M .,Antheus,64.4,57.9,12.5,4 x 15.000 SHP Kuznetsov NK-12MA turboprop with 8 blade counter rotating propellers.,29,E,15.4332,7.71666,3,,1.028888,1.028888
AN24,110,900,M,Lower,21000,1500,140,514.444,200,514.444,200,NaN,,240,NaN,FL280,600,,,240,771.666,240,87.45548,771.666,61.73328,B,900,AN4/YN7,Flightcrew of 4 and up to 50 passengers.,Regional airliner and freighter. In service since 1963.  Original aircraft of the Antonov family of twin turboprop civil and military transports. Developed to AN-26. -30. - 32. Chinese version Y-7 series. More than 1100 An-24s were built. Approximately 880 remain in commercial service. Ukrainian production ceased in 1978. Chinese production continues.,,29.2,23.5,8.3,An24: 2 x 2.550 SHP Ivchenko AI -24A turboprops with 4 blade propellers. Y-7: 2 x 2.790 SHP Wongan WJ5A I turboprops with 4 blade propellers.,50,C,15.4332,7.71666,3,,1.028888,1.028888
AN26,120,1200,M,Lower,24000,1500,150,514.444,200,411.5552,200,NaN,,235,NaN,FL260,600,,,240,771.666,240,87.45548,771.666,54.01662,B,700,AN6,Crew of 5 (Pilot. Co-pilot.radio operator. navigator and flight engineer)  and up to 40 troops or 24 patients.,Military tactical transport aircraft. In service since 1968.  More powerful development of AN-24 with rear loading ramp and redesigned tail for military use. Chinese versions Y-7 and Y-7H. Civil version An-26S. In production from 1968 to 1985. Over 550 An-26s are in world wide civil service.,ANTONOV An-26<br />XIAN Y-7H,29.2,23.8,8.6,2 x 2.820 SHP Ivchenko AI 24VT turboprops with 4 blade propellers  and 1 x 8.83 kN RU 19-300 aux turbojet in starboard nacelle.,40,C,15.4332,7.71666,3,,1.028888,1.028888
AN28,80,400,L,Light,6500,900,110,360.1108,140,360.1108,140,NaN,,170,NaN,FL200,550,,,170,411.5552,170,NaN,411.5552,46.29996,A,210,AN28,Flightcrew of two and typical 17 passengers. up to 20 in high density configuration.,Commuter airliner and utility transport aircraft. In limited service since 1986.  Light passenger and utility transport development for short haul routes based on the An-14. The production was transferred to Polands PZL Mielec in 1978. Used by Polish Air Force and Navy. Westernised version M-28 Skytruck has been exported by Poland since 1996. New stretched. more powerful development of Antonov is the An-38.,Bryza<br />M-28.Skytruck.Bryza,22.1,13,4.6,An-28: 2 x 960 SHP Glushenkov TUD-103 turboprops with 3 blade propellers. M-28: 2 x 1.100 SHP P&amp;W PT6A-65B turboprops with 5 blade propellers.,17,B,15.4332,7.71666,3,,1.028888,1.028888
AN30,110,800,M,Lower,21800,1500,140,411.5552,200,360.1108,200,NaN,,235,NaN,FL270,1400,,,240,771.666,150,NaN,514.444,48.87218,B,700,AN30,Flightcrew of 4 and up to 50 passengers.,Aerial survey and mapping aircraft. In service since the early seventies.  Special version of An-24 with a glazing nose for survey and cartography is used by many countries in the open skies programme. Can easely be turned into and is often used as an An-26 type transport.,,29.2,24.3,8.3,2 x 2.820 SHP Ivchenko AI-24VT turboprops with 4 blade propellers.,50,C,15.4332,7.71666,3,,1.028888,1.028888
AN32,110,1200,M,Lower,27000,1500,140,514.444,210,514.444,210,NaN,,250,NaN,FL300,900,,,260,771.666,150,NaN,514.444,51.4444,B,880,AN32,Flightcrew of 3. (Pilot. Co-pilot and Navigator),Regional freighter. In service since 1976.  High altitude version of AN26. more powerful and with better performance.,,29.2,23.7,8.8,2 x 5.042 SHP ZMKB Progress AI-20D Mk 5 turboprops with 4 blade constant speed reversible-pitch propellers.,0,C,15.4332,7.71666,3,,1.028888,1.028888
